Entry_ID,State Patient Number,Date Announced,Age Bracket,Gender,Detected City,Detected District,Detected State,State code,Num Cases,Current Status,Contracted from which Patient (Suspected),Notes,Source_1,Source_2,Source_3,Nationality,Type of transmission,Status Change Date,Patient Number
376464,,13/11/2020,,,,Narmada,Gujarat,GJ,7,Hospitalized,,,https://twitter.com/DDNewsGujarati/status/1327241302644195331,,,,,,
376465,,13/11/2020,,,,Navsari,Gujarat,GJ,5,Hospitalized,,,https://twitter.com/DDNewsGujarati/status/1327241302644195331,,,,,,
376466,,13/11/2020,,,,Panchmahal,Gujarat,GJ,15,Hospitalized,,,https://twitter.com/DDNewsGujarati/status/1327241302644195331,,,,,,
376467,,13/11/2020,,,,Patan,Gujarat,GJ,32,Hospitalized,,,https://twitter.com/DDNewsGujarati/status/1327241302644195331,,,,,,
376468,,13/11/2020,,,,Porbandar,Gujarat,GJ,1,Hospitalized,,,https://twitter.com/DDNewsGujarati/status/1327241302644195331,,,,,,
376469,,13/11/2020,,,,Rajkot,Gujarat,GJ,133,Hospitalized,,,https://twitter.com/DDNewsGujarati/status/1327241302644195331,,,,,,
376470,,13/11/2020,,,,Sabarkantha,Gujarat,GJ,16,Hospitalized,,,https://twitter.com/DDNewsGujarati/status/1327241302644195331,,,,,,
376471,,13/11/2020,,,,Surat,Gujarat,GJ,186,Hospitalized,,,https://twitter.com/DDNewsGujarati/status/1327241302644195331,,,,,,
376472,,13/11/2020,,,,Surendranagar,Gujarat,GJ,16,Hospitalized,,,https://twitter.com/DDNewsGujarati/status/1327241302644195331,,,,,,
376473,,13/11/2020,,,,Tapi,Gujarat,GJ,6,Hospitalized,,,https://twitter.com/DDNewsGujarati/status/1327241302644195331,,,,,,
376474,,13/11/2020,,,,Vadodara,Gujarat,GJ,131,Hospitalized,,,https://twitter.com/DDNewsGujarati/status/1327241302644195331,,,,,,
376475,,13/11/2020,,,,Valsad,Gujarat,GJ,2,Hospitalized,,,https://twitter.com/DDNewsGujarati/status/1327241302644195331,,,,,,
376476,,13/11/2020,,,,Thiruvananthapuram,Kerala,KL,1,Deceased,,,,,,,,,
376477,,13/11/2020,,,,Thiruvananthapuram,Kerala,KL,1,Deceased,,,,,,,,,
376478,,13/11/2020,,,,Thiruvananthapuram,Kerala,KL,1,Deceased,,,,,,,,,
376479,,13/11/2020,,,,Thiruvananthapuram,Kerala,KL,1,Deceased,,,,,,,,,
376480,,13/11/2020,,,,Thiruvananthapuram,Kerala,KL,1,Deceased,,,,,,,,,
376481,,13/11/2020,,,,Thiruvananthapuram,Kerala,KL,1,Deceased,,,,,,,,,
376482,,13/11/2020,,,,Kollam,Kerala,KL,1,Deceased,,,,,,,,,
376483,,13/11/2020,,,,Kollam,Kerala,KL,1,Deceased,,,,,,,,,
376484,,13/11/2020,,,,Alappuzha,Kerala,KL,1,Deceased,,,,,,,,,
376485,,13/11/2020,,,,Alappuzha,Kerala,KL,1,Deceased,,,,,,,,,
376486,,13/11/2020,,,,Kottayam,Kerala,KL,1,Deceased,,,,,,,,,
376487,,13/11/2020,,,,Kottayam,Kerala,KL,1,Deceased,,,,,,,,,
376488,,13/11/2020,,,,Kottayam,Kerala,KL,1,Deceased,,,,,,,,,
376489,,13/11/2020,,,,Ernakulam,Kerala,KL,1,Deceased,,,,,,,,,
376490,,13/11/2020,,,,Ernakulam,Kerala,KL,1,Deceased,,,,,,,,,
376491,,13/11/2020,,,,Ernakulam,Kerala,KL,1,Deceased,,,,,,,,,
376492,,13/11/2020,,,,Thrissur,Kerala,KL,1,Deceased,,,,,,,,,
376493,,13/11/2020,,,,Thrissur,Kerala,KL,1,Deceased,,,,,,,,,
376494,,13/11/2020,,,,Thrissur,Kerala,KL,1,Deceased,,,,,,,,,
376495,,13/11/2020,,,,Palakkad,Kerala,KL,1,Deceased,,,,,,,,,
376496,,13/11/2020,,,,Palakkad,Kerala,KL,1,Deceased,,,,,,,,,
376497,,13/11/2020,,,,Malappuram,Kerala,KL,1,Deceased,,,,,,,,,
376498,,13/11/2020,,,,Malappuram,Kerala,KL,1,Deceased,,,,,,,,,
376499,,13/11/2020,,,,Malappuram,Kerala,KL,1,Deceased,,,,,,,,,
376500,,13/11/2020,,,,Kannur,Kerala,KL,1,Deceased,,,,,,,,,
376501,,13/11/2020,,,,Thiruvananthapuram,Kerala,KL,439,Hospitalized,,,,,,,,,
376502,,13/11/2020,,,,Kollam,Kerala,KL,489,Hospitalized,,,,,,,,,
376503,,13/11/2020,,,,Pathanamthitta,Kerala,KL,189,Hospitalized,,,,,,,,,
376504,,13/11/2020,,,,Alappuzha,Kerala,KL,468,Hospitalized,,,,,,,,,
376505,,13/11/2020,,,,Kottayam,Kerala,KL,347,Hospitalized,,,,,,,,,
376506,,13/11/2020,,,,Idukki,Kerala,KL,187,Hospitalized,,,,,,,,,
376507,,13/11/2020,,,,Ernakulam,Kerala,KL,756,Hospitalized,,,,,,,,,
376508,,13/11/2020,,,,Thrissur,Kerala,KL,677,Hospitalized,,,,,,,,,
376509,,13/11/2020,,,,Palakkad,Kerala,KL,438,Hospitalized,,,,,,,,,
376510,,13/11/2020,,,,Malappuram,Kerala,KL,588,Hospitalized,,,,,,,,,
376511,,13/11/2020,,,,Kozhikode,Kerala,KL,799,Hospitalized,,,,,,,,,
376512,,13/11/2020,,,,Wayanad,Kerala,KL,106,Hospitalized,,,,,,,,,
376513,,13/11/2020,,,,Kannur,Kerala,KL,240,Hospitalized,,,,,,,,,
376514,,13/11/2020,,,,Kasaragod,Kerala,KL,81,Hospitalized,,,,,,,,,
